date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:57:10	55662/55662	---M-Z	200	added ('OK')	text/html	date:Mon,%2030%20Oct%202023%2019:59:34%20GMT	https://www.signatureglobal.in/	C:/Users/pc/Desktop/Ashwani/SG/SG/www.signatureglobal.in/index.html	(from )
12:57:10	182/182	---M--	200	added ('OK')	text/plain	etag:%22b6-5f45265a4fceb%22	https://www.signatureglobal.in/robots.txt		(from )
12:57:10	8387/8387	---M--	200	added ('OK')	image/png	etag:%2220c3-5f8a4bbc4d0f6%22	https://www.signatureglobal.in/images/SG-Making-Affordable-India.png	C:/Users/pc/Desktop/Ashwani/SG/SG/www.signatureglobal.in/images/SG-Making-Affordable-India.png	(from https://www.signatureglobal.in/)
12:57:12	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2030%20Oct%202023%2019:57:11%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/pc/Desktop/Ashwani/SG/SG/www.googletagmanager.com/gtm.15445.delayed	(from https://www.signatureglobal.in/)
12:57:13	782/782	---M--	200	added ('OK')	image/png	etag:%2230e-5fb520d362ddb%22	https://www.signatureglobal.in/images/favicon1.png	C:/Users/pc/Desktop/Ashwani/SG/SG/www.signatureglobal.in/images/favicon1.png	(from https://www.signatureglobal.in/)
12:57:13	203933/203933	---M-Z	200	added ('OK')	application/x-javascript	date:Mon,%2030%20Oct%202023%2019:57:12%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Users/pc/Desktop/Ashwani/SG/SG/connect.facebook.net/en_US/fbevents.js	(from https://www.signatureglobal.in/)
12:57:13	155764/155764	---M--	200	added ('OK')	text/css	etag:%2226074-5e033a686dd72%22	https://www.signatureglobal.in/css/bootstrap.min.css	C:/Users/pc/Desktop/Ashwani/SG/SG/www.signatureglobal.in/css/bootstrap.min.css	(from https://www.signatureglobal.in/)
12:57:15	25831/25831	---M--	200	added ('OK')	text/css	etag:%2264e7-605d9ee6c73e7%22	https://www.signatureglobal.in/css/responsive.css	C:/Users/pc/Desktop/Ashwani/SG/SG/www.signatureglobal.in/css/responsive.css	(from https://www.signatureglobal.in/)
12:57:15	103205/103205	---M--	200	added ('OK')	text/css	etag:%2219325-608eeeed9d4ee%22	https://www.signatureglobal.in/css/style.css	C:/Users/pc/Desktop/Ashwani/SG/SG/www.signatureglobal.in/css/style.css	(from https://www.signatureglobal.in/)
12:57:15	102225/102225	---M--	200	added ('OK')	text/css	etag:%2218f51-602e08f84f4e7%22	https://www.signatureglobal.in/css/fontawesome/css/all.min.css	C:/Users/pc/Desktop/Ashwani/SG/SG/www.signatureglobal.in/css/fontawesome/css/all.min.css	(from https://www.signatureglobal.in/)
12:57:15	89501/89501	---M--	200	added ('OK')	application/javascript	etag:%2215d9d-5dff9774a17f0%22	https://www.signatureglobal.in/js/jquery.min.js	C:/Users/pc/Desktop/Ashwani/SG/SG/www.signatureglobal.in/js/jquery.min.js	(from https://www.signatureglobal.in/)
12:57:16	57791/57791	---M--	200	added ('OK')	application/javascript	etag:%22e1bf-5dd391b279d18%22	https://www.signatureglobal.in/js/bootstrap.min.js	C:/Users/pc/Desktop/Ashwani/SG/SG/www.signatureglobal.in/js/bootstrap.min.js	(from https://www.signatureglobal.in/)
12:57:16	402/402	---M--	200	added ('OK')	image/svg+xml	etag:%22192-5d88714a38a80%22	https://www.signatureglobal.in/images/icon/arrow-down-wh.svg	C:/Users/pc/Desktop/Ashwani/SG/SG/www.signatureglobal.in/images/icon/arrow-down-wh.svg	(from https://www.signatureglobal.in/)
12:57:16	196620/196620	---M-Z	200	added ('OK')	text/html	date:Mon,%2030%20Oct%202023%2019:59:41%20GMT	https://www.signatureglobal.in/investor.php	C:/Users/pc/Desktop/Ashwani/SG/SG/www.signatureglobal.in/investor.html	(from https://www.signatureglobal.in/)
12:57:17	49562/49562	---M-Z	200	added ('OK')	text/html	date:Mon,%2030%20Oct%202023%2019:59:41%20GMT	https://www.signatureglobal.in/customer_support.php	C:/Users/pc/Desktop/Ashwani/SG/SG/www.signatureglobal.in/customer_support.html	(from https://www.signatureglobal.in/)
12:57:17	76471/76471	---M-Z	200	added ('OK')	text/html	date:Mon,%2030%20Oct%202023%2019:59:42%20GMT	https://www.signatureglobal.in/signature-global-foundation.php	C:/Users/pc/Desktop/Ashwani/SG/SG/www.signatureglobal.in/signature-global-foundation.html	(from https://www.signatureglobal.in/)
12:57:17	88843/88843	---M-Z	200	added ('OK')	text/html	date:Mon,%2030%20Oct%202023%2019:59:42%20GMT	https://www.signatureglobal.in/about-us.php	C:/Users/pc/Desktop/Ashwani/SG/SG/www.signatureglobal.in/about-us.html	(from https://www.signatureglobal.in/)
12:57:18	103755/103755	---M-Z	200	added ('OK')	text/html	date:Mon,%2030%20Oct%202023%2019:59:42%20GMT	https://www.signatureglobal.in/career.php	C:/Users/pc/Desktop/Ashwani/SG/SG/www.signatureglobal.in/career.html	(from https://www.signatureglobal.in/)
12:57:18	51927/51927	---M-Z	200	added ('OK')	text/html	date:Mon,%2030%20Oct%202023%2019:59:42%20GMT	https://www.signatureglobal.in/green-development.php	C:/Users/pc/Desktop/Ashwani/SG/SG/www.signatureglobal.in/green-development.html	(from https://www.signatureglobal.in/)
12:57:18	266/266	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2030%20Oct%202023%2019:59:43%20GMT	https://www.signatureglobal.in/residential?status=ongoing	C:/Users/pc/Desktop/Ashwani/SG/SG/www.signatureglobal.in/residentialcbf1	(from https://www.signatureglobal.in/)
12:57:18	268/268	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2030%20Oct%202023%2019:59:43%20GMT	https://www.signatureglobal.in/residential?status=delivered	C:/Users/pc/Desktop/Ashwani/SG/SG/www.signatureglobal.in/residential0733	(from https://www.signatureglobal.in/)
